TranslatedRecipeName,TranslatedIngredients
Delicious Butter Chicken Pani Puri Recipe,"2 teaspoon Lemon juice,1/4 cup Green Chutney (Coriander & Mint),1 teaspoon Cumin powder (Jeera),2 tablespoons Mint Leaves (Pudina),Puris used for Pani Puri,Coriander (Dhania) Leaves - to garnish,1/4 cup Hung Curd (Greek Yogurt),1 teaspoon Garam masala powder,Salt - to taste,2 tablespoons Coriander (Dhania) Leaves,1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,Pickled onions,1/2 teaspoon Mustard oil,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),3 teaspoons Red Chilli powder,2 tablespoon Butter,1 Chicken breasts - shredded,1 teaspoon Honey,1-1/2 teaspoon Coriander Powder (Dhania),1/8 cup Tomato Ketchup,1 teaspoon Amchur (Dry Mango Powder),1/4 cup Homemade tomato puree"
Indian Chicken Keema Sliders Recipe,"1/2 kg Chicken - minced,1 Inch Ginger - chopped,Salt - to taste,2 Star anise,1/2 teaspoon Black pepper powder,3 tablespoon Coriander (Dhania) Seeds,4 Black pepper corns,4 Onions - chopped,4 cloves Garlic - chopped,1 tablespoon Lemon juice,15 Burger buns - for sliders (small),3 Kashmiri dry red chillies,2 Cinnamon Stick (Dalchini),3 Cloves (Laung),1/2 teaspoon Red Chilli powder,2 tablespoon Butter,1 teaspoon Cumin seeds (Jeera),2-3 tablespoon Coriander (Dhania) Leaves - chopped,6 Tomatoes - chopped,1-1/2 cup Curd (Dahi / Yogurt),2 Green Chillies - slit lengthwise"
One Pot Pressure Cooker Chicken Curry Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,Salt - to taste,300 grams Chicken breasts - cut into chunks,4 cloves Garlic - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 Onion - finely chopped,1 teaspoon Coconut Oil,2 Tomatoes - finely chopped,2 cups Water,1 inch Ginger - finely chopped,1 sprig Curry leaves"
Slow Cooker Mexican Chicken Stew Recipe,"1 Onion - sliced,1 teaspoon Cumin powder (Jeera),1 cup Sweet corn,1 Green Bell Pepper (Capsicum) - diced,1 cup Tomato - chopped,150 grams Chicken thighs - shredded,1 cup Chicken stock,1 teaspoon Red Chilli powder,2 Carrots (Gajjar) - diced,2 tablespoons Coriander (Dhania) Leaves - chopped,1 cup Black beans - (optional),2 teaspoons Lemon juice,1-1/2 teaspoons Salt and Pepper"
Chicken Meatballs In A Makhni Gravy Recipe,"Sunflower Oil - for shallow frying the meatballs,1/4 cup Whole Wheat Bread crumbs,Salt - as per you taste,1 Mace (Javitri),5 Tomatoes,8 cloves Garlic - finely chopped,3 tablespoons Fresh cream,3 Green Chillies - finely chopped,1 teaspoon Garam masala powder,2 Cardamom (Elaichi) Pods/Seeds,500 grams Chicken - cleaned and minced,2 tablespoons Honey,1 Onion - roughly chopped,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),2 sprig Coriander (Dhania) Leaves,1 tablespoons Sunflower Oil,2 tablespoon Butter,2 tablespoons Ginger Garlic Paste,1 Bay leaf (tej patta),1 Onion,3/4 cup Water,5 Dry Red Chillies"
Penne Rigate With Minced Chicken Sauce & Cheese Recipe,"450 grams Penne pasta - (I used whole wheat pasta),Salt - to taste,1/2 tablespoon Red Chilli flakes - or black pepper powder,2 tablespoons Extra Virgin Olive Oil,2 tablespoons Parmesan cheese - grated,1-1/2 cup Homemade tomato puree,6 cloves Garlic - minced,2 teaspoons Italian seasoning,1 cup Onion - chopped,450 grams Chicken - minced,1 teaspoon Dried basil leaves"
Spicy Minced Chicken Keema Balls Curry Recipe,"1 Onion - sliced,3 Green Chillies,Salt - as required,1/4 teaspoon Black pepper powder,1 teaspoon Ginger Garlic Paste,1 teaspoon Garam masala powder,1 Tomato - finely chopped,1 teaspoon Lemon juice,250 grams Chicken - boneless and minced (cleaned and washed),1 Whole Eggs,5 Coriander (Dhania) Leaves,6 Cashew nuts,1 tablespoon Sunflower Oil,5 Mint Leaves (Pudina) - chopped,5 sprig Coriander (Dhania) Leaves - finely chopped to garnish,1 teaspoon Turmeric powder (Haldi),2 Onions - finely sliced,1 teaspoon Red Chilli powder - (adjust according to your choice)"
Omurice Recipe - Japanese Omelette Rice,"Salt - to taste,1/2 cup Mixed vegetables - chopped (green bell pepper and red bell pepper are used here),1 Chicken thigh - cleaned and cut to bite size,1 teaspoon Milk,1 Onion - chopped,1 teaspoon Soy sauce,Black pepper powder - to taste,3 teaspoon Cheddar cheese - shredded,Roasted tomato pasta sauce - as needed,1 teaspoon Extra Virgin Olive Oil,1 cup Cooked rice,1 tablespoon Red Chilli sauce,2 Whole Eggs"
Keema Bhindi Masala Recipe - Okra & Minced Meat Curry,"250 grams Bhindi (Lady Finger/Okra) - cut into 1/2 inch pieces,8 cloves Garlic - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 cup Homemade tomato puree,Salt - to taste,2 teaspoons Coriander Powder (Dhania),2 teaspoons Garam masala powder,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1 teaspoon Red Chilli powder,2 Green Chillies - slit,2 Onions - finely chopped,2 tablespoons Mustard oil,500 grams Chicken - cut into 1/2 inch pieces,Coriander (Dhania) Leaves - small bunch,1 inch Ginger - finely chopped,1 tablespoon Mustard oil"
Tomato Basil Chicken Curry Recipe,"1 teaspoon Sugar,2 Carrot (Gajjar) - cut diagonally,1 teaspoon Cumin powder (Jeera),1 cup Homemade tomato puree,2 tablespoon Paprika powder,Salt - to taste,1 tablespoon Dried Thyme Leaves,1 Onion - chopped,6 Basil leaves,Extra Virgin Olive Oil - for cooking,4 cloves Garlic - chopped,1 Chicken breasts - cut into chunks,1 tablespoon Rosemary"
Sindhi Style Chicken Curry Recipe Using Preethi Electric Pressure Cooker,"2 teaspoons Coriander (Dhania) Powder,Salt - as required,1/2 cup Curd (Dahi / Yogurt) - whisked well,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1 Black cardamom (Badi Elaichi),2 Onions - finely chopped,1 inch Cinnamon stick,3 Cardamom (Elaichi) Pods/Seeds,6 cloves Garlic - finely chopped,Coriander (Dhania) Leaves - handful,2 tablespoons Sunflower Oil,2 Cloves (Laung),1 Bay leaf (tej patta),500 grams Chicken - cleaned and washed,2 Tomatoes - finely chopped,1 inch Ginger - finely chopped,3 Green Chillies - finely chopped"
Chicken Ranch Wraps Recipe,"Ranch Sauce,Salt - to taste,Lettuce leaves - as required,1/2 Cup Cheese - grated,2 teaspoon Red Chilli flakes,2 Onion - diced,1 Tablespoon Black pepper powder,2 teaspoon Dried oregano,5 Cherry tomatoes - diced,2 Chicken breasts - thoroughly washed & cleaned,4 Tortillas,1 Cucumber - diced"
Amritsari Murgh Makhani Recipe- Chicken Makhani Recipe,"1 teaspoon Lemon juice,1 teaspoon Red Chilli powder,1 teaspoon Coriander (Dhania) Seeds,1/2 cup Curd (Dahi / Yogurt),1/4 teaspoon Nutmeg powder,1 teaspoon Whole Black Peppercorns,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,2 Onions - roughly chopped,1 Green Chilli - roughly chopped,Coriander (Dhania) Leaves - a few chopped,1 teaspoon Turmeric powder (Haldi),1 inch Ginger - roughly chopped,1/2 teaspoon Cumin seeds (Jeera),4 cloves Garlic,1 cup Homemade tomato puree,1 Black cardamom (Badi Elaichi),3 Cloves (Laung),2 tablespoons Fresh cream,5 Cashew nuts - for garnish,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Dry ginger powder,1 inch Cinnamon Stick (Dalchini),300 grams Chicken breasts - cut into chunks,1 Bay leaf (tej patta),Sunflower Oil"
Mexican Cottage Cheese Chicken Enchilada Recipe,"3 Tortillas,1 cup Paneer (Homemade Cottage Cheese) - grated,2 Chicken breasts,Salt - to taste,1/2 cup Cheddar cheese - grated,Black pepper powder - to taste,1 Onion,1/4 cup Green Bell Pepper (Capsicum) - ¼ cup green capsicum,2 Pickled Jalapenos - sliced,1 cup Sour cream - whisked,1 teaspoon Extra Virgin Olive Oil,1 teaspoon Taco seasoning,1 cup Tomato Basil Pasta Sauce"
Cheesy Chicken Tikka Recipe,"2 teaspoons Corn flour,5 tablespoons Coriander (Dhania) Leaves - finely chopped,4 tablespoons Fresh cream,Butter - for brushing,Salt - to taste,1 teaspoon Lemon juice,1/2 Tomato - sliced,1/2 Onion - sliced,1/2 teaspoon Garam masala powder,1 Whole Egg,1/4 teaspoon Nutmeg powder,1/4 teaspoon Mace powder,1 cup Cheese - grated,500 grams Boneless chicken - Boneless Chicken – 500 gms (Preferably thigh pieces),2 teaspoons Ginger - grated,3 teaspoons Garlic - minced,1 teaspoon Black pepper powder,3 Green Chillies - finely chopped"
Chilli Chicken Cheese Quesadilla Recipe,"1/4 cup Green Bell Pepper (Capsicum) - sliced,1/2 tablespoon Soy sauce,2 Green Chillies - slit,1/3 cup Spring Onion (Bulb & Greens) - chopped,6 cloves Garlic - finely chopped,1/2 cup Mozzarella cheese - grated,2 inch Ginger - finely chopped,1 tablespoon Tomato Ketchup,1 Salt - to taste,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 tablespoon Corn flour,1 teaspoon Sunflower Oil,300 grams Chicken breasts - cut into strips,4 tablespoons Butter - softened,4 Tortillas"
Chicken Dum Biryani Recipe,"3 Onions - sliced thin,20 gram Garlic - ground to paste,1 tablespoon Garam masala powder,4 Tomatoes - finely chopped,2 tablespoon Red Chilli powder,20 gram Ginger - ground to paste,4 Green Chillies - slit at the center,Ghee - as needed,Salt - to taste,1/2 cup Hung Curd (Greek Yogurt),Salt - as required,1 tablespoon Red Chilli powder,2 tablespoon Coriander Powder (Dhania),4 cups Basmati rice,1/2 cup Coriander (Dhania) Leaves - finely chopped,1 kg Chicken - with bone,1 teaspoon Turmeric powder (Haldi),Sunflower Oil - as needed,1/2 cup Mint Leaves (Pudina) - finely chopped"
Mexican Style Red Chicken Chilaquiles Recipe,"1 teaspoon Sugar,3 teaspoons Dried oregano,2 Tortillas,1 sprig Dried Thyme Leaves,Salt - to taste,1 Onion - chopped,2 Onion - chopped,6 cloves Garlic - chopped,2 tablespoons Tomato Ketchup,150 grams Chicken breasts,2 cloves Garlic - Chopped,2 teaspoons Red Chilli powder,5 Tomatoes - chopped,2 teaspoons Dried Thyme Leaves,2 tablespoons Cheese"
Chicken Spaghetti in Tomato Basil Sauce Recipe,"1 teaspoon Sugar,100 grams Chicken breasts - cut into pieces,3 tablespoons Extra Virgin Olive Oil,3 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1 teaspoon Tarragon,1 Onion - chopped,150 grams Spaghetti Pasta,1 teaspoon Red Chilli flakes,1 teaspoon Rosemary,5 Tomatoes - cut into half,4 cloves Garlic - chopped"
Chilli Chicken Recipe - Delicious Indian Style Chinese Chicken,"3 Green Chillies,Sunflower Oil - oil for frying,1 teaspoon White vinegar,1 cup Chicken breasts - boneless,3 teaspoon Corn flour,1 tablespoon Soy sauce,3 tablespoon Sunflower Oil,1 teaspoon Ginger Garlic Paste,1 Onion - cubed,5 teaspoon Red Chilli sauce,1 tablespoon Tomato Ketchup,Coriander (Dhania) Leaves - as required for garnish,1/2 teaspoon Salt,1/4 cup Water,Spring Onion (Bulb & Greens) - as required for garnish,1/2 cup Green Bell Pepper (Capsicum) - cubed,1 Egg white"
Achari Chicken Masala Pasta Recipe,"3 Dry Red Chillies,Salt - to taste,2 cups Penne pasta,6 cloves Garlic - finely chopped,3/4 cup Milk,2 Chicken breasts - cut into strips,1 teaspoon Nutralite Garlic & Oregano Spread,3 tablespoons Achari Mayo,1/2 cup Homemade tomato puree,2 Onions - thinly sliced"
Tandoori Chicken Curry Recipe,"1/2 Tablespoon Tandoori masala,1 Bay leaves (tej patta),1 Onion - finely chopped,1 Tablespoon Curd (Dahi / Yogurt),3 Whole Black Peppercorns,1 Tablespoons Kashmiri Red Chilli Powder,750 Kg Chicken,1/2 teaspoon Fennel seeds (Saunf),Salt - to taste,1/2 Tablespoon Ginger Garlic Paste,1 teaspoon Turmeric powder (Haldi),1 Tomatoes - finely chopped,Coriander (Dhania) Leaves - small bunch,3 Cloves (Laung),1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 Tablespoon Fresh cream - (Optional just to give thickness to gravy),1 tablespoons Sunflower Oil,1 inch Cinnamon Stick (Dalchini),3/4 Cup Water,2 Green Chillies - chopped,1/2 Tablespoon Onion powder"
Spicy Pepper Chicken Recipe,"Salt - as required,Curry leaves - handful,3 Onions - sliced finely,1 tablespoon Fennel seeds (Saunf),1 Tomato - deseeded,Coriander (Dhania) Leaves - Handful,1 tablespoon Cumin seeds (Jeera),1 cup Water,2 cups Chicken breasts - cut into medium sized pieces,1 tablespoon Ginger Garlic Paste,1/4 teaspoon Turmeric powder (Haldi),2 teaspoon Red Chilli powder,1 tablespoons Whole Black Peppercorns,Sunflower Oil - as required"
Gongura Chicken Curry Recipe," 1 tomato - chopped, 1/4 tsp fenugreek seeds, 6 cloves garlic - finely chopped, 1 tsp sesame seeds Oil, 4 cloves garlic, 2 cups gongura - clean and chop, 1/2 tsp turmeric powder, 1 tsp garam masala powder, 2 onions - chopped, 2 tbsp sesame oil, 1 inch ginger - finely chopped, 1 tsp fennel seeds, 4 dry red chillies, salt - as per taste, 4 green chillies - cut straight and thin,500 grams of chicken, 1 tbsp coriander seeds"
Thalassery Chicken Biriyani Recipe,"1 tablespoon Cashew nuts,300 grams Chicken - curry cut,1 teaspoon Red Chilli powder,1/4 cup Mint Leaves (Pudina) - chopped,5 Cloves (Laung),1 tablespoon Ghee,3 Tomatoes - chopped,3 Green Chilli,Salt - to taste,2 Onions - sliced,1/2 cup Milk,2 Bay leaves (tej patta),1 tablespoon Whole Black Peppercorns,1 cup Red matta rice - washed thoroughly,5 Saffron strands,1 Lemon juice,1/2 teaspoon Turmeric powder (Haldi),1/4 cup Coriander (Dhania) Leaves - chopped,1 inch Cinnamon Stick (Dalchini),5 cloves Garlic,1 Cardamom (Elaichi) Pods/Seeds,1 inch Ginger,2 tablespoon Garam masala powder"
Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing,"2 Stalks Celery - sliced,1 teaspoon Ginger - minced,3/4 teaspoon Cumin powder (Jeera) - freshly ground,1 cup Tomato - crushed,1 Green zucchini - sliced,Salt - to taste,1 cup Kabuli Chana (White Chickpeas) - soaked overnight,1/4 teaspoon Cayenne Pepper - ground,1/2 teaspoon Dried oregano,1 teaspoon Lemon juice,2 Carrots (Gajjar) - chopped,1 Onion - chopped,2 cloves Garlic - chopped,500 grams Boneless chicken - breasts,Strawberries - few,1-1/2 cups Water - (adjust),Onion - few slices,1/4 teaspoon Turmeric powder (Haldi) - freshly ground,1/2 teaspoon Paprika powder,Green zucchini - few slices"
Bhuna Murgh Recipe,"4 Whole Black Peppercorns,1 teaspoon Red Chilli powder,2 tablespoon Ghee - or oil,2 Black cardamom (Badi Elaichi),750 grams Chicken,1 tablespoon Cashew nuts - paste (optional),1 teaspoon Garam masala powder,Salt - to taste,4 Green Chillies - slit,2 Cardamom (Elaichi) Pods/Seeds,2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Ajwain (Carom seeds),3 Tomato - finely chopped or pureed,1 tablespoon Lemon juice - adjustable,2 inch Ginger - minced,2 Onion - finely chopped,8 cloves Garlic - roughly pounded,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1 Star anise,4 Cloves (Laung)"
Chicken Tikka Masala Recipe,"1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1/2 cup Curd (Dahi / Yogurt),1 tablespoon Butter (unsalted),Sunflower Oil - as required,1 Cloves (Laung),1/4 teaspoon Cinnamon Powder (Dalchini),Salt - to taste,1/2 cup Fresh cream,5 Cashew nuts,1 inch Ginger - finely chopped,Salt - as required,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),300 grams Chicken - cut into small size pieces,6 cloves Garlic - finely chopped,1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Tomato,1-1/2 teaspoon Coriander Powder (Dhania),1/4 teaspoon Cardamom Powder (Elaichi),1 Onion"
Thalapakattu Chicken Biryani Recipe,"3 Dagad phool (/pathar phool/black stone flower),1 Onion - chopped,2 teaspoon Fennel seeds (Saunf),1 Tomato - chopped,1 tablespoon Red Chilli powder,Salt - to taste,1 Star anise,3 Cardamom (Elaichi) Pods/Seeds,1-1/2 cup Water,1 teaspoon Turmeric powder (Haldi),2 tablespoons Mint Leaves (Pudina) - chopped,1 cup Seeraga (Jeeraga) Samba rice,1 teaspoon Ginger - grated,3 Cloves (Laung),2 teaspoons Garlic - minced,1 tablespoon Coriander Powder (Dhania),1/4 cup Coriander (Dhania) Leaves - chopped,1/2 kg Chicken - cut into medium sized pieces,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),Sunflower Oil - to cook,3 Mace (Javitri),3 Green Chillies - slit"
Delicious One Pot Butter Chicken Khichdi Recipe,"4 Whole Black Peppercorns,1 Tomato - finely chopped,2 inch Ginger - finely chopped,1 Onion - thinly sliced,1 cup Chicken breasts - cut into strips,Salt - to taste,1 cup Rice - washed,Mint Leaves (Pudina) - finely chopped for garnish,2 cloves Cloves (Laung),2 teaspoons Red Chilli powder,¼ cup Homemade tomato puree,2 teaspoons Garam masala powder,6 cloves Garlic - crushed,3 1/2 cups Water,2 teaspoons Tandoori chicken masala - Everest brand,Coriander (Dhania) Leaves - finely chopped for garnish,2 teaspoons Kasuri Methi (Dried Fenugreek Leaves),2 Green Chilli - slit length ways,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Butter,¼ cup Curd (Dahi / Yogurt),1 Bay leaf (tej patta),1 Star anise,2 teaspoons Cumin powder (Jeera)"
Mutton Keema Soup Recipe," 1 tomato - chopped, 4 cups chicken stock - or vegetable stock or water, 1 onion - chopped, 1/2 small Spoon black pepper powder, 3 green chillies - chopped, 1 tablespoon oil, 2 bay leaves, 1 sprig of thyme leaves - optional, salt - as per taste, 1/2 teaspoon turmeric powder, 2 tablespoons green coriander - chopped, 2 inch ginger - finely chopped,200 grams mutton - minced"
Green Chilli Chicken Fry Recipe,"2 inch Ginger,1 tablespoon Coriander Powder (Dhania),2 Onions,Water - as required,2 teaspoon Sunflower Oil,1 inch Cinnamon Stick (Dalchini),Salt - to taste,7 cloves Garlic,18 Green Chillies - adjust as per spice preference,2 tablespoon Coriander (Dhania) Leaves,3 Tomatoes,500 grams Chicken - cut into medium size pieces,4 Cloves (Laung),1/2 Lemon"
Schezwan Chicken Sizzler Recipe,"1 Onion - Diced,1 Chicken breasts - Cubed,1 Tablespoon Roasted tomato pasta sauce,1 Whole Egg,4 teaspoons Sunflower Oil,1 Tablespoon Light soy sauce,1 Carrot (Gajjar) - Blanched,1 Spring Onion Greens - chopped,1/4 cup Broccoli - (florets) Blanched,Salt - to taste,Spring Onion Greens - Few stalks,2 Tablespoon Ginger Garlic Paste,1 Yellow Bell Pepper (Capsicum) - diced,1 Red Bell pepper (Capsicum) - diced,1 Tablespoon Dark soy sauce,1/2 Tablespoon Dark soy sauce,1 Tablespoon White vinegar,3 Green Chillies - Chopped,1 Spring Onion (Bulb & Greens) - Chopped,2 teaspoon Black pepper powder,1 Tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),8 Green beans (French Beans) - Blanched,1 Tablespoon Whole Wheat Flour,1 Inch Ginger - Julienned,Extra Virgin Olive Oil - to cook,3 Tablespoon Corn flour,2 Tablespoon Red Chilli sauce,2 teaspoons Sesame seeds (Til seeds),200 grams Hakka Noodles - Boiled,1 teaspoon Black pepper powder"
Chicken Pad Thai Noodles Recipe,"1 Onion - sliced,1 tablespoon Lemon juice,2 tablespoons Brown Sugar (Demerara Sugar),250 grams Rice Noodles (Flat),1 inch Ginger - chopped,2 Carrot (Gajjar) - julienned,1 tablespoon Fish sauce,2 tablespoons Peanut Butter,3 tablespoon Red Chilli flakes,Salt - to taste,2 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 Red Bell pepper (Capsicum) - sliced,2 tablespoon Soy sauce,1/4 cup Roasted Peanuts (Moongphali) - crushed,1 Green Bell Pepper (Capsicum) - sliced,4 cloves Garlic - chopped,100 grams Chicken breasts - cut into chunks,1 Yellow Bell Pepper (Capsicum) - sliced"
Mexican Chicken Burger Recipe With Sour Cream & Salsa,"2 tablespoons Butter - to spread,1 teaspoon Cumin powder (Jeera),2 tablespoons Tomato Salsa,1/3 cup Cheese - grated,Salt - to taste,2 tablespoons Pickled Jalapenos - finely chopped,1/2 teaspoon Black pepper powder,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,1 Whole Egg,4 tablespoons Sour cream,2 Burger buns,4 tablespoons Tomato Salsa,3 cloves Garlic - finely chopped,1 Chicken breasts - minced,1 Onion - cut into rings"
Chicken Bharta Recipe - Dhaba Style Chicken Masala,"1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Kewra essence - few drops,1 Onion - finely chopped,1 tablespoon Ginger Garlic Paste,1/4 cup Curd (Dahi / Yogurt),6 Cardamom (Elaichi) Pods/Seeds,4 tablespoon Cashew nuts,1 teaspoon Garam masala powder,Salt - to taste,1/4 cup Fresh cream,2 Tomatoes,Sugar - to taste,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),300 grams Chicken breasts - boneless,Coriander (Dhania) Leaves - for garnishing (chopped),1 tablespoon Butter,4 tablespoon Sunflower Oil,1 Black cardamom (Badi Elaichi),1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),2 Green Chillies - finely chopped,1/2 teaspoon Kashmiri Red Chilli Powder,6 Cloves (Laung),1 Bay leaf (tej patta),2 Whole Egg - boiled"
Chicken Pizza With Caramelised Red Onion Recipe,"1 cup All Purpose Flour (Maida),1 tablespoon Dried Thyme Leaves,1 Onion - chopped,1 teaspoon Red Chilli flakes,Basil leaves - chopped,1/2 cup Mozzarella cheese - grated,1 cup Whole Wheat Flour - and some extra flour for dusting,2 teaspoons Active dry yeast,1 tablespoon Vinegar,4 Onions - sliced,100 grams Chicken breasts - cut into small pieces,1 tablespoon Sugar,Salt - to taste,2 tablespoons Honey,4 cloves Garlic - chopped,2 tablespoons Extra Virgin Olive Oil - and extra as needed,1 teaspoon Dried Thyme Leaves,Extra Virgin Olive Oil - for caramelising,Lukewarm Water - as required,1 teaspoon Tabasco Original - Hot Sauce,2 cups Homemade tomato puree,1 teaspoon Sugar,1 tablespoon Black pepper powder,Extra Virgin Olive Oil - for cooking,1 teaspoon Salt"
Kung Pao Chicken With Vegetable Fried Rice Recipe,"1 Green Bell Pepper (Capsicum) - diced,1 tablespoon Garlic - made into paste,1 teaspoon Whole Black Peppercorns - freshly crushed,1/4 cup Roasted Peanuts (Moongphali) - without husk,2-3 Dry Red Chilli - soaked in water and chopped,1 tablespoon Green Chilli - made into paste,2 teaspoons Vinegar,1 teaspoon Soy sauce,500 grams Boneless chicken - cut into small pieces,1 tablespoon Tomato Ketchup,1 teaspoon Ginger - grated,2 teaspoons Extra Virgin Olive Oil - or sesame oil,2 Spring Onion (Bulb & Greens) - chopped,1 teaspoon Salt"
Sri Lankan Chicken Curry Recipe,"1 tablespoon Red Chilli powder,2 Tomatoes - pureed,1 tablespoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1 Lemongrass,2 sprig Curry leaves,Water - as required,Salt - to taste,12 cloves Garlic - finely chopped,2 Onions - finely chopped,1 Pandan leaf,500 grams Chicken - with bones,1-1/2 inch Ginger - finely chopped,Sunflower Oil - as required"
Peanut Butter Chicken Recipe,"2 tablespoon Sunflower Oil,1 Tomato,300 grams Chicken breasts - boneless,1/2 teaspoon Black pepper powder,3/4 cup Chicken stock,1 tablespoon Chilli oil - (can be substituted with 1/8 teaspoon smoked paprika),1/2 teaspoon Salt,1 Onion,3/4 cup Peanut Butter - smooth"
Naga Style Chicken With Bamboo Shoot Recipe,"2 Tomatoes - crushed in pestle & mortar,Spring Onion (Bulb & Greens) - few,Salt - to taste,1 kg Chicken,2 inch Ginger - grated,5 cloves Garlic - crushed,7/8 Green Chillies - crushed,1/2 cup Bamboo shoots - sliced,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - sliced"
Murgh Masala Recipe - Chicken Tangdi Masala,"1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,400 grams Chicken legs,1 inch Cinnamon Stick (Dalchini),1 tablespoon Lemon juice - to tenderize the chicken,1 teaspoon Salt - to tenderize the chicken,1 inch Ginger - finely chopped,1 Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon Garam masala powder,3 tablespoons Homemade tomato puree,2 Onions - finely chopped,1/4 teaspoon Cumin powder (Jeera),1/2 tablespoon Honey,2 teaspoons Mustard oil,Salt - as per taste,1 Bay leaf (tej patta),2 tablespoons Curd (Dahi / Yogurt) - beaten,Coriander (Dhania) Leaves - finely chopped for garnish,1/2 teaspoon Red Chilli powder"
Chicken Barbecue Pizza Recipe,"1 teaspoon Sugar,1 tablespoons Extra Virgin Olive Oil - and extra as needed,1 teaspoon Dried Thyme Leaves,Salt - to taste,1 tablespoon Tabasco Original - Hot Sauce,1 Onion - chopped,1 teaspoon Red Chilli flakes,Lukewarm Water - as required,2 teaspoons Active dry yeast,2 tablespoons Barbeque sauce,4 cloves Garlic - chopped,3 cups Whole Wheat Flour - and some extra flour for dusting,100 grams Chicken breasts - cut into small pieces,2 cups Homemade tomato puree,1 teaspoon Salt"
Chettinad Dry Pepper Chicken Recipe," 2-1 / 2 tbsp. Black pepper powder, 1 onion, 1 tomato, oil - as per use, 1 tbsp coriander powder, 2 sprig curry leaves, 1 tbsp ginger garlic paste, 1 tsp cumin powder - compress, 1/2 tsp turmeric powder, coriander - for garnish, salt - as per taste, 1 tsp fennel Powder - roast,500 grams of chicken, water - as per use"
Methi Murgh Recipe - Chicken with Fenugreek Leaves,"200 grams Chicken - with bones,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 inch Ginger - chopped,1 inch Cinnamon Stick (Dalchini),2 teaspoon Garam masala powder,Salt - to taste,2 Onions - sliced,1 teaspoon Fennel seeds (Saunf),2 cloves Garlic - crushed,2 Tomatoes - chopped,1 cup Methi Leaves (Fenugreek Leaves) - washed,2 teaspoon Red Chilli powder,Sunflower Oil - as required,1 teaspoon Whole Black Peppercorns"
Mexican Chicken Soup Recipe,"1 tablespoon Sweet corn,1/2 teaspoon Cumin powder (Jeera),1 tablespoons Lemon juice,Salt - to taste,2 tablespoons Canola Oil,1 Carrot (Gajjar) - chopped,1 Onion - chopped,2 tablespoons Coriander (Dhania) Leaves - chopped,1 Celery - chopped,4 cups Chicken stock,2 Tomatoes - chopped,2 Green Chilli - chopped,4 cloves Garlic - chopped,1/2 teaspoon Red Chilli powder,1/2 cup Chicken breasts - shredded ,1 teaspoon Dried oregano"
